"state" & "predictions" & "tweets" & "anew_tweets" & "labmt_tweets" & "avg_valence" & "avg_happiness" & "avg_arousal" & "avg_dominance"
"alabama" & 65.948505585452 & 7373 & 2226 & 6432 & 6.33 & 5.54 & 5.31 & 5.54
"arizona" & 66.6369525477977 & 6463 & 2166 & 5960 & 6.44 & 5.55 & 5.5 & 5.63
"arkansas" & 66.0270261687258 & 2936 & 921 & 2677 & 6.25 & 5.56 & 5.26 & 5.51
"california" & 67.2432900109017 & 41199 & 11674 & 36900 & 6.41 & 5.47 & 5.39 & 5.59
"colorado" & 69.1482894933004 & 2428 & 767 & 2143 & 6.38 & 5.53 & 5.38 & 5.61
"connecticut" & 66.0736906464392 & 4342 & 1326 & 3888 & 6.37 & 5.52 & 5.34 & 5.59
"delaware" & 66.8206562989403 & 2185 & 649 & 1972 & 6.21 & 5.53 & 5.24 & 5.45
"florida" & 66.0324585732191 & 26984 & 8852 & 24741 & 6.37 & 5.51 & 5.38 & 5.57
"georgia" & 65.8676417109817 & 32100 & 9802 & 29358 & 6.21 & 5.5 & 5.27 & 5.49
"idaho" & 67.2273404364362 & 334 & 126 & 302 & 7.24 & 5.58 & 5.75 & 6.14
"illinois" & 65.8919006212784 & 15682 & 4599 & 13977 & 6.32 & 5.51 & 5.38 & 5.57
"indiana" & 65.9489220254677 & 8746 & 3080 & 8026 & 6.44 & 5.54 & 5.44 & 5.6
"iowa" & 67.8117073142711 & 3062 & 786 & 2627 & 6.4 & 5.45 & 5.39 & 5.53
"kansas" & 66.1149196248822 & 2298 & 781 & 2041 & 6.28 & 5.54 & 5.33 & 5.55
"kentucky" & 65.4017493208068 & 6098 & 1877 & 5524 & 6.28 & 5.51 & 5.41 & 5.54
"louisiana" & 65.9466520417517 & 9239 & 2747 & 8207 & 6.31 & 5.48 & 5.3 & 5.54
"maine" & 66.8392410746979 & 535 & 200 & 495 & 6.04 & 5.53 & 5.18 & 5.38
"maryland" & 65.746163381436 & 17163 & 4887 & 15269 & 6.28 & 5.48 & 5.34 & 5.52
"massachusetts" & 66.4233217954496 & 8336 & 2786 & 7483 & 6.3 & 5.52 & 5.36 & 5.55
"michigan" & 65.6494531017913 & 15426 & 4524 & 13945 & 6.26 & 5.52 & 5.31 & 5.54
"minnesota" & 66.4588016413554 & 4537 & 1469 & 4150 & 6.42 & 5.55 & 5.38 & 5.59
"mississippi" & 65.3651798497675 & 8130 & 2408 & 7367 & 6.14 & 5.48 & 5.25 & 5.44
"missouri" & 65.8784494235395 & 6351 & 1941 & 5772 & 6.27 & 5.51 & 5.33 & 5.54
"montana" & 68.3357918767005 & 177 & 69 & 161 & 6.25 & 5.42 & 5.47 & 5.58
"nebraska" & 67.3038848252363 & 1334 & 456 & 1234 & 6.43 & 5.57 & 5.4 & 5.6
"nevada" & 66.6174947429554 & 4069 & 1360 & 3613 & 6.59 & 5.56 & 5.5 & 5.68
"new hampshire" & 67.6479925063874 & 687 & 195 & 607 & 6.34 & 5.56 & 5.35 & 5.58
"new jersey" & 65.9638922699154 & 16688 & 5172 & 15054 & 6.28 & 5.54 & 5.32 & 5.52
"new mexico" & 66.5484463925556 & 1398 & 432 & 1314 & 6.34 & 5.51 & 5.32 & 5.57
"new york" & 66.6136327432282 & 20671 & 6565 & 18235 & 6.3 & 5.52 & 5.31 & 5.54
"north carolina" & 65.5482300063214 & 18227 & 5727 & 16659 & 6.28 & 5.52 & 5.29 & 5.52
"north dakota" & 68.0160504656814 & 545 & 223 & 511 & 6.03 & 5.48 & 5.39 & 5.47
"ohio" & 65.7202368280417 & 20011 & 6189 & 18351 & 6.29 & 5.53 & 5.37 & 5.57
"oklahoma" & 65.6274972662886 & 3173 & 1006 & 2859 & 6.17 & 5.52 & 5.33 & 5.5
"oregon" & 66.7083107534985 & 2189 & 736 & 1974 & 6.45 & 5.56 & 5.39 & 5.59
"pennsylvania" & 65.9409101349667 & 19932 & 6353 & 18013 & 6.34 & 5.53 & 5.34 & 5.58
"rhode island" & 65.4164291932291 & 1128 & 389 & 1046 & 6.02 & 5.49 & 5.41 & 5.47
"south carolina" & 65.8873873778697 & 9420 & 3097 & 8614 & 6.27 & 5.49 & 5.29 & 5.51
"south dakota" & 67.2100731194309 & 600 & 149 & 497 & 6.38 & 5.5 & 5.33 & 5.59
"tennessee" & 65.8902350723215 & 8065 & 2574 & 7306 & 6.39 & 5.55 & 5.34 & 5.61
"texas" & 65.8780344082724 & 44317 & 13964 & 40371 & 6.21 & 5.5 & 5.36 & 5.5
"utah" & 67.3801352307647 & 1863 & 682 & 1715 & 6.34 & 5.52 & 5.36 & 5.51
"vermont" & 68.0391708395494 & 137 & 59 & 129 & 6.66 & 5.59 & 5.56 & 5.69
"virginia" & 66.152493258777 & 14886 & 4487 & 13294 & 6.33 & 5.53 & 5.31 & 5.55
"washington" & 67.029539198946 & 3575 & 1212 & 3303 & 6.42 & 5.56 & 5.38 & 5.62
"west virginia" & 65.067536732323 & 1781 & 585 & 1622 & 6.52 & 5.57 & 5.41 & 5.69
"wisconsin" & 66.7698018311614 & 5357 & 2290 & 4941 & 5.83 & 5.49 & 4.68 & 5.26
"wyoming" & 68.3844802368923 & 246 & 95 & 230 & 5.86 & 5.53 & 5.16 & 5.21
"Average" & 66.5041666666667 & 9008.8125 & 2805.41666666667 & 8143.9375 & 6.318125 & 5.521875 & 5.345625 & 5.5525
"Minimum" & 65.067536732323 & 137 & 59 & 129 & 5.83 & 5.42 & 4.68 & 5.21
"Maximum" & 69.1482894933004 & 44317 & 13964 & 40371 & 7.24 & 5.59 & 5.75 & 6.14
